timestamp,epoch,race_id,venue,horse_number,horse_name,win_odds,place_odds,time_to_post
2026-09-05T17:17:17,1788599837.687,2026-09-06_Race6,ST,12,VICTORY CHAMPION,8.8,2.7,
2026-09-05T17:17:17,1788599837.687,2026-09-06_Race6,ST,13,MAJESTIC DELIGHT,60.0,9.3,
2026-09-05T17:17:17,1788599837.687,2026-09-06_Race6,ST,14,GLACIATED,29.0,7.3,
2026-09-05T17:17:27,1788599847.962,2026-09-06_Race7,ST,1,SOLEIL FIGHTER,9.6,2.9,
2026-09-05T17:17:27,1788599847.962,2026-09-06_Race7,ST,2,INVINCIBLE SHIELD,13.0,3.4,
2026-09-05T17:17:27,1788599847.962,2026-09-06_Race7,ST,3,WINNING OVATION,2.2,1.7,
2026-09-05T17:17:27,1788599847.962,2026-09-06_Race7,ST,4,SIX PACK,6.1,1.7,
2026-09-05T17:17:27,1788599847.962,2026-09-06_Race7,ST,5,MAX QUE,11.0,3.3,
2026-09-05T17:17:27,1788599847.962,2026-09-06_Race7,ST,6,SING DRAGON,48.0,8.7,
2026-09-05T17:17:27,1788599847.962,2026-09-06_Race7,ST,7,VICTORY SKY,29.0,4.2,
2026-09-05T17:17:27,1788599847.962,2026-09-06_Race7,ST,8,DROMBEG BANNER,6.3,1.5,
2026-09-05T17:17:27,1788599847.962,2026-09-06_Race7,ST,9,INFINITE RESOLVE,8.0,1.9,
2026-09-05T17:17:35,1788599855.781,2026-09-06_Race8,ST,1,JOYFUL JOY,4.5,2.9,
2026-09-05T17:17:35,1788599855.781,2026-09-06_Race8,ST,2,MASTER LUCKY,15.0,4.7,
2026-09-05T17:17:35,1788599855.781,2026-09-06_Race8,ST,3,ANOTHER WORLD,12.0,5.5,
2026-09-05T17:17:35,1788599855.781,2026-09-06_Race8,ST,4,POSITIVE SMILE,6.1,3.5,
2026-09-05T17:17:35,1788599855.781,2026-09-06_Race8,ST,5,GALLANT EPOCH,30.0,8.5,
2026-09-05T17:17:35,1788599855.781,2026-09-06_Race8,ST,6,GRAND PATCH,5.1,1.2,
2026-09-05T17:17:35,1788599855.781,2026-09-06_Race8,ST,7,NOBLE PATCH,17.0,5.5,
2026-09-05T17:17:35,1788599855.781,2026-09-06_Race8,ST,8,SOLID CAR,14.0,4.9,
2026-09-05T17:17:35,1788599855.781,2026-09-06_Race8,ST,9,GOLDEN WIN,12.0,3.2,
2026-09-05T17:17:35,1788599855.781,2026-09-06_Race8,ST,10,GOLDENTRONICMIGHTY,10.0,1.8,
2026-09-05T17:17:35,1788599855.781,2026-09-06_Race8,ST,11,MASSIVE REWARD,39.0,11.0,
2026-09-05T17:17:35,1788599855.781,2026-09-06_Race8,ST,12,STAR SATYR,24.0,8.2,
2026-09-05T17:17:35,1788599855.781,2026-09-06_Race8,ST,13,SUPER SICARIO,55.0,14.0,
2026-09-05T17:17:35,1788599855.781,2026-09-06_Race8,ST,14,CALIFORNIA BANNER,14.0,5.3,
2026-09-05T17:17:43,1788599863.335,2026-09-06_Race9,ST,1,LUCKY SAM GOR,8.2,2.6,
2026-09-05T17:17:43,1788599863.335,2026-09-06_Race9,ST,2,THE RED HARE,17.0,4.3,
2026-09-05T17:17:43,1788599863.335,2026-09-06_Race9,ST,3,POCKETING,30.0,7.7,
2026-09-05T17:17:43,1788599863.335,2026-09-06_Race9,ST,4,AEROINVINCIBLE,6.0,2.3,
2026-09-05T17:17:43,1788599863.335,2026-09-06_Race9,ST,5,BABY SAKURA,2.7,1.1,
2026-09-05T17:17:43,1788599863.335,2026-09-06_Race9,ST,6,CIRCUIT CHAMPION,5.3,1.6,
2026-09-05T17:17:43,1788599863.335,2026-09-06_Race9,ST,7,BEAUTY CRESCENT,23.0,5.2,
2026-09-05T17:17:43,1788599863.335,2026-09-06_Race9,ST,8,FLYING FORTRESS,10.0,3.6,
2026-09-05T17:17:43,1788599863.335,2026-09-06_Race9,ST,9,YUEN LONG ELITE,13.0,4.4,
2026-09-05T17:17:43,1788599863.335,2026-09-06_Race9,ST,10,TITANCK,29.0,8.2,
2026-09-05T17:17:43,1788599863.335,2026-09-06_Race9,ST,11,EXCELLENCE VALUE,29.0,6.8,
2026-09-05T17:17:52,1788599872.701,2026-09-06_Race10,ST,1,PUBLIC ATTENTION,4.4,3.0,
2026-09-05T17:17:52,1788599872.701,2026-09-06_Race10,ST,2,JUMBO TREASURE,18.0,2.8,
2026-09-05T17:17:52,1788599872.701,2026-09-06_Race10,ST,3,AKASHVANI,18.0,6.4,
2026-09-05T17:17:52,1788599872.701,2026-09-06_Race10,ST,4,GUSTOSISIMO,11.0,5.7,
2026-09-05T17:17:52,1788599872.701,2026-09-06_Race10,ST,5,JUBILANT WINNER,11.0,4.1,
2026-09-05T17:17:52,1788599872.701,2026-09-06_Race10,ST,6,GOLD PATCH,11.0,4.2,
2026-09-05T17:17:52,1788599872.701,2026-09-06_Race10,ST,7,LUCY IN THE SKY,14.0,3.8,
2026-09-05T17:17:52,1788599872.701,2026-09-06_Race10,ST,8,SUPER STRONG KID,7.5,2.5,
2026-09-05T17:17:52,1788599872.701,2026-09-06_Race10,ST,9,CALA DEI MORI,25.0,6.9,
2026-09-05T17:17:52,1788599872.701,2026-09-06_Race10,ST,10,THE HEIR,30.0,7.9,
2026-09-05T17:17:52,1788599872.701,2026-09-06_Race10,ST,11,THOUSAND SPIRIT,13.0,1.2,
2026-09-05T17:17:52,1788599872.701,2026-09-06_Race10,ST,12,MASTER PAYMENT,3.9,2.6,
2026-09-05T17:17:52,1788599872.701,2026-09-06_Race10,ST,13,SUGAR GOODSON,68.0,22.0,
2026-09-05T17:23:47,1788600227.775,2026-09-06_Race1,ST,1,BEAUTY GEMINI,26.0,4.5,
2026-09-05T17:23:47,1788600227.775,2026-09-06_Race1,ST,2,FOREVER FANCY,8.2,2.7,
2026-09-05T17:23:47,1788600227.775,2026-09-06_Race1,ST,3,POWER PATCH,9.9,3.3,
2026-09-05T17:23:47,1788600227.775,2026-09-06_Race1,ST,4,SUNNY Q,2.7,1.6,
2026-09-05T17:23:47,1788600227.775,2026-09-06_Race1,ST,5,RISING ELITE,11.0,3.3,
