date,bankroll,pnl,peak_bankroll,drawdown
2022-05-22,-48580.0,-58580.0,9950.0,-5.882412060301507
2022-05-22,-48650.0,-58650.0,9950.0,-5.889447236180905
2022-05-22,-48700.0,-58700.0,9950.0,-5.894472361809045
2022-05-22,-48740.0,-58740.0,9950.0,-5.898492462311558
2022-05-22,-48820.0,-58820.0,9950.0,-5.906532663316583
2022-05-22,-48850.0,-58850.0,9950.0,-5.909547738693467
2022-05-22,-48880.0,-58880.0,9950.0,-5.912562814070352
2022-05-25,-48900.0,-58900.0,9950.0,-5.914572864321608
2022-05-25,-48930.0,-58930.0,9950.0,-5.9175879396984925
2022-05-25,-48940.0,-58940.0,9950.0,-5.9185929648241205
2022-05-25,-48980.0,-58980.0,9950.0,-5.922613065326633
2022-05-25,-49040.0,-59040.0,9950.0,-5.928643216080402
2022-05-25,-49080.0,-59080.0,9950.0,-5.932663316582914
2022-05-25,-49130.0,-59130.0,9950.0,-5.937688442211055
2022-05-25,-49170.0,-59170.0,9950.0,-5.941708542713568
2022-05-25,-49210.0,-59210.0,9950.0,-5.94572864321608
2022-05-29,-49260.0,-59260.0,9950.0,-5.950753768844221
2022-05-29,-49310.0,-59310.0,9950.0,-5.9557788944723615
2022-05-29,-49380.0,-59380.0,9950.0,-5.962814070351759
2022-05-29,-49410.0,-59410.0,9950.0,-5.965829145728644
2022-05-29,-49470.0,-59470.0,9950.0,-5.971859296482412
2022-05-29,-49520.0,-59520.0,9950.0,-5.976884422110553
2022-05-29,-49580.0,-59580.0,9950.0,-5.982914572864321
2022-05-29,-49610.0,-59610.0,9950.0,-5.985929648241206
2022-05-29,-49660.0,-59660.0,9950.0,-5.990954773869347
2022-05-29,-49720.0,-59720.0,9950.0,-5.996984924623115
2022-06-01,-49760.0,-59760.0,9950.0,-6.001005025125628
2022-06-01,-49790.0,-59790.0,9950.0,-6.004020100502513
2022-06-01,-49830.0,-59830.0,9950.0,-6.008040201005025
2022-06-01,-49880.0,-59880.0,9950.0,-6.013065326633166
2022-06-01,-49930.0,-59930.0,9950.0,-6.018090452261307
2022-06-01,-49950.0,-59950.0,9950.0,-6.0201005025125625
2022-06-01,-50020.0,-60020.0,9950.0,-6.02713567839196
2022-06-01,-50070.0,-60070.0,9950.0,-6.0321608040201005
2022-06-01,-50110.0,-60110.0,9950.0,-6.036180904522613
2022-06-05,-50150.0,-60150.0,9950.0,-6.040201005025126
2022-06-05,-50180.0,-60180.0,9950.0,-6.04321608040201
2022-06-05,-50230.0,-60230.0,9950.0,-6.048241206030151
2022-06-05,-50280.0,-60280.0,9950.0,-6.053266331658292
2022-06-05,-50330.0,-60330.0,9950.0,-6.058291457286432
2022-06-05,-50360.0,-60360.0,9950.0,-6.061306532663316
2022-06-05,-50430.0,-60430.0,9950.0,-6.068341708542714
2022-06-05,-50470.0,-60470.0,9950.0,-6.072361809045226
2022-06-05,-50540.0,-60540.0,9950.0,-6.079396984924623
2022-06-05,-50610.0,-60610.0,9950.0,-6.08643216080402
2022-06-08,-50610.0,-60610.0,9950.0,-6.08643216080402
2022-06-08,-50630.0,-60630.0,9950.0,-6.088442211055276
2022-06-08,-50640.0,-60640.0,9950.0,-6.089447236180905
2022-06-08,-50670.0,-60670.0,9950.0,-6.092462311557789
2022-06-08,-50710.0,-60710.0,9950.0,-6.096482412060301
2022-06-08,-50740.0,-60740.0,9950.0,-6.099497487437186
2022-06-08,-50800.0,-60800.0,9950.0,-6.105527638190955
2022-06-08,-50830.0,-60830.0,9950.0,-6.108542713567839
2022-06-08,-50880.0,-60880.0,9950.0,-6.11356783919598
2022-06-12,-50920.0,-60920.0,9950.0,-6.117587939698493
2022-06-12,-50990.0,-60990.0,9950.0,-6.124623115577889
2022-06-12,-51020.0,-61020.0,9950.0,-6.127638190954774
2022-06-12,-51050.0,-61050.0,9950.0,-6.130653266331659
2022-06-12,-51100.0,-61100.0,9950.0,-6.135678391959799
2022-06-12,-51160.0,-61160.0,9950.0,-6.141708542713568
2022-06-12,-51220.0,-61220.0,9950.0,-6.147738693467336
2022-06-12,-51280.0,-61280.0,9950.0,-6.153768844221106
2022-06-12,-51310.0,-61310.0,9950.0,-6.15678391959799
2022-06-12,-51340.0,-61340.0,9950.0,-6.159798994974874
2022-06-12,-51390.0,-61390.0,9950.0,-6.164824120603015
2022-06-19,-51460.0,-61460.0,9950.0,-6.171859296482412
2022-06-19,-51520.0,-61520.0,9950.0,-6.177889447236181
2022-06-19,-51590.0,-61590.0,9950.0,-6.1849246231155774
2022-06-19,-51680.0,-61680.0,9950.0,-6.193969849246231
2022-06-19,-51730.0,-61730.0,9950.0,-6.198994974874372
2022-06-19,-51760.0,-61760.0,9950.0,-6.202010050251256
2022-06-19,-51830.0,-61830.0,9950.0,-6.2090452261306535
2022-06-19,-51850.0,-61850.0,9950.0,-6.211055276381909
2022-06-19,-51940.0,-61940.0,9950.0,-6.220100502512563
2022-06-19,-51980.0,-61980.0,9950.0,-6.224120603015075
2022-06-22,-52010.0,-62010.0,9950.0,-6.22713567839196
2022-06-22,-52060.0,-62060.0,9950.0,-6.232160804020101
2022-06-22,-52100.0,-62100.0,9950.0,-6.236180904522613
2022-06-22,-52150.0,-62150.0,9950.0,-6.241206030150754
2022-06-22,-52200.0,-62200.0,9950.0,-6.2462311557788945
2022-06-22,-52230.0,-62230.0,9950.0,-6.249246231155779
