date,bankroll,roi_pct,peak,drawdown
2023-02-15,8906.09359507426,-10.939064049257397,10053.812944000001,-0.11415761913600016
2023-02-19,8906.09359507426,-10.939064049257397,10053.812944000001,-0.11415761913600016
2023-02-22,8906.09359507426,-10.939064049257397,10053.812944000001,-0.11415761913600016
2023-02-26,8906.09359507426,-10.939064049257397,10053.812944000001,-0.11415761913600016
2023-03-01,8906.09359507426,-10.939064049257397,10053.812944000001,-0.11415761913600016
2023-03-05,8906.09359507426,-10.939064049257397,10053.812944000001,-0.11415761913600016
2023-03-08,8906.09359507426,-10.939064049257397,10053.812944000001,-0.11415761913600016
2023-03-11,8906.09359507426,-10.939064049257397,10053.812944000001,-0.11415761913600016
2023-03-15,8906.09359507426,-10.939064049257397,10053.812944000001,-0.11415761913600016
2023-03-19,8906.09359507426,-10.939064049257397,10053.812944000001,-0.11415761913600016
2023-03-22,8906.09359507426,-10.939064049257397,10053.812944000001,-0.11415761913600016
2023-03-26,8906.09359507426,-10.939064049257397,10053.812944000001,-0.11415761913600016
2023-03-29,8906.09359507426,-10.939064049257397,10053.812944000001,-0.11415761913600016
2023-04-02,8906.09359507426,-10.939064049257397,10053.812944000001,-0.11415761913600016
2023-04-09,8906.09359507426,-10.939064049257397,10053.812944000001,-0.11415761913600016
2023-04-12,8906.09359507426,-10.939064049257397,10053.812944000001,-0.11415761913600016
2023-04-15,8906.09359507426,-10.939064049257397,10053.812944000001,-0.11415761913600016
2023-04-19,8906.09359507426,-10.939064049257397,10053.812944000001,-0.11415761913600016
2023-04-23,8906.09359507426,-10.939064049257397,10053.812944000001,-0.11415761913600016
2023-04-26,8906.09359507426,-10.939064049257397,10053.812944000001,-0.11415761913600016
2023-04-30,8906.09359507426,-10.939064049257397,10053.812944000001,-0.11415761913600016
2023-05-03,8906.09359507426,-10.939064049257397,10053.812944000001,-0.11415761913600016
2023-05-07,8906.09359507426,-10.939064049257397,10053.812944000001,-0.11415761913600016
2023-05-10,9885.76389053243,-1.1423610946757035,10053.812944000001,-0.016714957240960168
2023-05-13,9885.76389053243,-1.1423610946757035,10053.812944000001,-0.016714957240960168
2023-05-17,9885.76389053243,-1.1423610946757035,10053.812944000001,-0.016714957240960168
2023-05-21,9885.76389053243,-1.1423610946757035,10053.812944000001,-0.016714957240960168
2023-05-24,9885.76389053243,-1.1423610946757035,10053.812944000001,-0.016714957240960168
2023-05-28,9885.76389053243,-1.1423610946757035,10053.812944000001,-0.016714957240960168
2023-05-31,9885.76389053243,-1.1423610946757035,10053.812944000001,-0.016714957240960168
2023-06-04,9885.76389053243,-1.1423610946757035,10053.812944000001,-0.016714957240960168
2023-06-07,9885.76389053243,-1.1423610946757035,10053.812944000001,-0.016714957240960168
2023-06-10,9885.76389053243,-1.1423610946757035,10053.812944000001,-0.016714957240960168
2023-06-14,9885.76389053243,-1.1423610946757035,10053.812944000001,-0.016714957240960168
2023-06-18,9885.76389053243,-1.1423610946757035,10053.812944000001,-0.016714957240960168
2023-06-25,9885.76389053243,-1.1423610946757035,10053.812944000001,-0.016714957240960168
2023-06-28,9885.76389053243,-1.1423610946757035,10053.812944000001,-0.016714957240960168
2023-07-01,9885.76389053243,-1.1423610946757035,10053.812944000001,-0.016714957240960168
2023-07-09,9885.76389053243,-1.1423610946757035,10053.812944000001,-0.016714957240960168
2023-07-12,9885.76389053243,-1.1423610946757035,10053.812944000001,-0.016714957240960168
2023-09-10,9885.76389053243,-1.1423610946757035,10053.812944000001,-0.016714957240960168
2023-09-13,9688.048612721781,-3.119513872782187,10053.812944000001,-0.03638065809614094
2023-09-17,9688.048612721781,-3.119513872782187,10053.812944000001,-0.03638065809614094
2023-09-20,9688.048612721781,-3.119513872782187,10053.812944000001,-0.03638065809614094
2023-09-24,9688.048612721781,-3.119513872782187,10053.812944000001,-0.03638065809614094
2023-09-27,9688.048612721781,-3.119513872782187,10053.812944000001,-0.03638065809614094
2023-10-01,9688.048612721781,-3.119513872782187,10053.812944000001,-0.03638065809614094
2023-10-04,9688.048612721781,-3.119513872782187,10053.812944000001,-0.03638065809614094
2023-10-11,9688.048612721781,-3.119513872782187,10053.812944000001,-0.03638065809614094
2023-10-15,9688.048612721781,-3.119513872782187,10053.812944000001,-0.03638065809614094
2023-10-18,9688.048612721781,-3.119513872782187,10053.812944000001,-0.03638065809614094
2023-10-22,9688.048612721781,-3.119513872782187,10053.812944000001,-0.03638065809614094
2023-10-25,9688.048612721781,-3.119513872782187,10053.812944000001,-0.03638065809614094
2023-10-29,9688.048612721781,-3.119513872782187,10053.812944000001,-0.03638065809614094
2023-11-01,9688.048612721781,-3.119513872782187,10053.812944000001,-0.03638065809614094
2023-11-05,9688.048612721781,-3.119513872782187,10053.812944000001,-0.03638065809614094
2023-11-08,9688.048612721781,-3.119513872782187,10053.812944000001,-0.03638065809614094
2023-11-11,9688.048612721781,-3.119513872782187,10053.812944000001,-0.03638065809614094
2023-11-15,9688.048612721781,-3.119513872782187,10053.812944000001,-0.03638065809614094
2023-11-19,9688.048612721781,-3.119513872782187,10053.812944000001,-0.03638065809614094
2023-11-22,9688.048612721781,-3.119513872782187,10053.812944000001,-0.03638065809614094
2023-11-26,9494.287640467346,-5.057123595326541,10053.812944000001,-0.05565304493421804
2023-11-29,9494.287640467346,-5.057123595326541,10053.812944000001,-0.05565304493421804
2023-12-03,9494.287640467346,-5.057123595326541,10053.812944000001,-0.05565304493421804
2023-12-06,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2023-12-10,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2023-12-13,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2023-12-17,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2023-12-20,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2023-12-23,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-01-07,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-01-10,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-01-13,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-01-17,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-01-21,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-01-24,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-01-28,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-01-31,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-02-04,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-02-07,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-02-18,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-02-21,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-02-25,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
2024-02-28,9304.401887658,-6.955981123420008,10053.812944000001,-0.07453998403553366
